Global_active_power,Global_reactive_power,Voltage,Global_intensity,day,month,year,hour,minute,Total Reading
0.596,0.218,241.61,2.6,28,2,2010,7,51,2.0
1.296,0.238,239.19,5.6,9,10,2007,20,5,1.0
1.556,0.184,239.72,6.4,4,3,2010,19,40,19.0
1.288,0.12,231.87,5.6,8,1,2007,12,16,17.0
0.29,0.21,238.95,1.4,20,8,2009,6,48,3.0
0.318,0.264,243.07,1.6,8,7,2009,15,56,2.0
1.296,0.066,237.31,5.4,27,7,2008,10,13,18.0
0.382,0.3,240.43,2.0,7,3,2008,19,5,2.0
0.262,0.0,247.26,1.0,4,8,2008,23,42,0.0
0.748,0.08,239.94,3.0,17,8,2010,0,1,3.0
0.29,0.05,241.84,1.2,28,10,2008,15,27,0.0
0.224,0.046,245.07,1.0,17,3,2009,1,29,0.0
0.306,0.118,244.6,1.2,27,10,2007,23,59,0.0
0.384,0.176,242.11,1.8,16,11,2010,5,50,1.0
1.512,0.058,235.56,6.4,17,5,2007,23,40,17.0
3.044,0.234,239.46,12.6,1,9,2010,18,39,23.0
0.336,0.226,239.97,1.6,14,5,2008,13,26,1.0
1.32,0.0,242.56,5.4,2,9,2009,17,31,0.0
2.878,0.15,237.39,12.0,11,7,2010,14,26,38.0
0.286,0.21,244.45,1.4,25,9,2009,0,55,1.0
1.842,0.258,237.96,7.8,20,3,2007,11,43,17.0
0.246,0.0,236.19,1.0,2,5,2007,11,5,0.0
0.832,0.114,243.24,3.4,10,5,2010,23,40,1.0
4.236,0.316,238.87,17.8,1,10,2010,13,4,56.0
0.144,0.0,236.12,0.6,31,7,2007,23,26,0.0
2.108,0.046,234.39,9.0,11,5,2007,18,14,0.0
0.218,0.106,239.9,1.0,9,7,2009,6,36,1.0
0.552,0.052,242.85,2.2,25,12,2008,21,23,0.0
2.784,0.378,237.99,11.8,7,12,2008,17,2,39.0
0.434,0.22,239.73,2.0,17,2,2007,17,23,1.0
2.932,0.0,242.21,12.0,4,1,2007,7,48,18.0
2.114,0.0,245.89,8.6,21,12,2009,15,50,19.0
0.26,0.116,240.48,1.2,8,9,2010,8,20,0.0
0.95,0.142,240.88,4.0,10,7,2009,15,34,12.0
0.24,0.06,242.1,1.0,10,7,2010,10,14,1.0
1.022,0.208,239.9,4.4,5,12,2009,2,16,12.0
0.172,0.0,240.53,0.8,7,4,2008,2,55,1.0
0.892,0.0,239.9,3.8,15,8,2010,21,18,1.0
1.316,0.0,243.08,5.4,10,8,2009,23,23,18.0
1.8,0.0,236.48,7.6,29,1,2007,17,46,18.0
0.362,0.218,239.83,1.8,7,3,2010,1,46,1.0
4.568,0.114,236.38,19.2,10,10,2009,21,1,56.0
0.912,0.186,238.87,4.0,2,8,2008,18,4,0.0
0.32,0.078,240.0,1.4,5,1,2008,10,51,1.0
1.246,0.0,242.51,5.0,16,2,2007,7,49,0.0
0.57,0.16,237.74,2.6,11,1,2008,9,54,1.0
2.908,0.0,239.43,12.2,17,4,2008,21,52,18.0
0.284,0.0,240.2,1.4,5,7,2009,13,33,1.0
0.34,0.104,241.22,1.4,5,9,2008,2,54,1.0
0.788,0.226,240.9,3.4,19,6,2010,20,54,1.0
0.354,0.248,240.53,1.8,17,4,2007,12,34,1.0
1.182,0.142,234.24,5.0,23,4,2007,19,18,0.0
2.238,0.154,240.45,9.2,16,11,2008,1,45,0.0
0.486,0.242,244.96,2.2,3,9,2008,14,19,3.0
0.716,0.062,243.04,3.0,21,6,2010,21,33,3.0
3.682,0.098,236.99,15.4,7,10,2009,7,14,55.0
0.258,0.0,243.69,1.0,23,4,2008,3,54,1.0
